image_id,parcel_id,image_date,file_path,ndvi_mean,ndvi_sd,ndre_mean,ndre_sd,gndvi_mean,gndvi_sd,nirv_mean,nirv_sd,ndwi_mean,ndwi_sd,suggested_class_label,B02_mean,B02_sd,B03_mean,B03_sd,B04_mean,B04_sd,B05_mean,B05_sd,B08_mean,B08_sd,B8A_mean,B8A_sd,B11_mean,B11_sd,discarded,labels_found,n_labels_found,class_label_conflict,class_label,label_source_files
IMG_00001,1,2020-03-01,data/plot_1/RGB_2020-03-01.tif,0.6238,0.0822,0.3923,0.0462,0.5604,0.0576,2246.3005,360.3251,0.2613,0.053,green,714.837264150943,342.122865568916,1038.34905660377,293.308478165966,867.084905660377,340.736072284569,1598.93867924528,334.994515784707,3627.76650943396,503.464684079005,3364.7358490566,592.588222909891,2005.4858490566,528.807981516343,TRUE,no_data,1,FALSE,no_data,image_metadata2020Honza.csv
IMG_00002,2,2020-03-01,data/plot_2/RGB_2020-03-01.tif,0.1732,0.0413,0.1088,0.0307,0.2055,0.0293,902.1556,143.5709,NA,NA,ploughed,3650,610.877401775512,3519.66666666667,645.446098963087,3767,697.298501360787,4292.66666666667,795.343866932201,5301.33333333333,711.337519512831,NA,NA,4994.5,739.35343375141,TRUE,no_data,1,FALSE,no_data,image_metadata2020Honza.csv
IMG_00003,3,2020-03-01,data/plot_3/RGB_2020-03-01.tif,0.6261,0.0655,0.4262,0.0349,0.5733,0.0565,2145.9817,157.9056,NA,NA,green,808.179487179487,297.288975153823,954.854700854701,254.205702239323,812.299145299145,243.946088764303,1397.02564102564,220.1307002645,3451.62393162393,321.13762562919,NA,NA,1870.88888888889,305.857775652677,FALSE,green,1,FALSE,green,image_metadata2020Honza.csv
IMG_00004,4,2020-03-01,data/plot_4/RGB_2020-03-01.tif,0.459,0.1194,0.2576,0.1328,0.4786,0.1249,1090.5823,468.9303,NA,NA,slightly_yellow,515.07476635514,100.705033594247,751.915887850467,83.0353552222965,802.794392523365,154.596049298893,1273.02803738318,112.647677323987,2256.40186915888,557.976141706305,NA,NA,1775.23364485981,350.035054294142,FALSE,slightly_yellow,1,FALSE,slightly_yellow,image_metadata2020Honza.csv
IMG_00005,5,2020-03-01,data/plot_5/RGB_2020-03-01.tif,0.1392,0.1152,0.05,0.1327,0.2114,0.083,205.5717,179.6241,-0.0074,0.0779,ploughed,867.383561643836,557.513867045699,878.356164383562,410.735802143983,992,376.081625300797,1159.47945205479,312.685505366594,1326.39726027397,513.681855164968,1372.39726027397,343.635495665507,1374.98630136986,293.22775056026,TRUE,no_data,1,FALSE,no_data,image_metadata2020Honza.csv
IMG_00006,6,2020-03-01,data/plot_6/RGB_2020-03-01.tif,0.1344,0.0832,0.0618,0.0983,0.2065,0.0652,288.0247,192.9415,-0.0216,0.0831,ploughed,1239.74571686204,601.974617983924,1322.62488728584,577.202064951604,1518.43101893598,609.478176795549,1744.8431018936,649.74289604153,2006.12984670875,817.081816170175,2077.48963029757,721.980716120683,2196.10009017133,834.092573086663,TRUE,no_data,1,FALSE,no_data,image_metadata2020Honza.csv
IMG_00007,7,2020-03-01,data/plot_7/RGB_2020-03-01.tif,0.1795,0.0476,0.0858,0.0383,0.2055,0.0158,581.2892,229.5242,-0.0229,0.0203,ploughed,2039.6,489.294185536677,2078.4,375.362225057344,2166.8,120.818872697936,2626.4,195.340216033463,3141.2,466.82459232564,2977.6,93.0365519567444,3119.2,150.977481764666,TRUE,no_data,1,FALSE,no_data,image_metadata2020Honza.csv
IMG_00008,8,2020-03-01,data/plot_8/RGB_2020-03-01.tif,0.1904,0.1137,0.0824,0.1304,0.2438,0.0568,306.3281,203.9586,0.1692,0.0535,ploughed,938.398230088496,244.931351163043,1025.80530973451,337.599082239123,1168.09734513274,473.873663931526,1456.9203539823,570.956811939286,1656.10619469027,384.034395846812,2226.6814159292,874.044031514745,1567.07079646018,615.212314060505,TRUE,no_data,1,FALSE,no_data,image_metadata2020Honza.csv
IMG_00009,9,2020-03-01,data/plot_9/RGB_2020-03-01.tif,0.8021,0.0969,0.5688,0.0954,0.7183,0.0802,3377.5164,850.2747,0.4088,0.075,green,384.56223628692,69.328848676248,647.160337552743,64.4568045294671,422.258438818565,114.38719552001,1096.12130801688,80.2070383878261,4127.64345991561,715.092086499852,4031.68987341772,648.595411026497,1657.32067510549,58.8268494860288,FALSE,green,1,FALSE,green,image_metadata2020Honza.csv
IMG_00010,10,2020-03-01,data/plot_10/RGB_2020-03-01.tif,0.7903,0.0059,0.5202,0.0081,0.6988,0.0061,2939.2291,100.5918,0.4385,0.0076,green,333.044117647059,17.89808113081,659.279411764706,23.4494346991248,435.735294117647,20.9894199695578,1174.25,52.9331809151032,3719.23529411765,126.238830467581,3673.92647058824,149.627429460841,1433.48529411765,46.4103991972009,FALSE,green,1,FALSE,green,image_metadata2020Honza.csv
IMG_00011,11,2020-03-01,data/plot_11/RGB_2020-03-01.tif,0.1638,0.0259,0.1019,0.0208,0.1987,0.0251,503.0108,90.6347,-0.043,0.0257,ploughed,1960.31407942238,224.984843894452,2054.91335740072,195.837812966751,2204.80144404332,164.498954661918,2498.6083032491,147.518934560939,3066.56317689531,190.187818538164,2830.3321299639,139.006730679021,3083.42779783394,113.967085509603,TRUE,no_data,1,FALSE,no_data,image_metadata2020Honza.csv
IMG_00012,12,2020-03-01,data/plot_12/RGB_2020-03-01.tif,0.2519,0.0507,0.1614,0.0494,0.2982,0.039,496.3555,151.6622,0.1296,0.0377,ploughed,1011.85668789809,221.509352249612,1051.39171974522,194.541295652018,1153.34872611465,153.235343487003,1393.54777070064,180.179505660855,1938.97133757962,306.240538705195,1877.82643312102,280.715154086064,1441.71496815287,183.195213880323,TRUE,no_data,1,FALSE,no_data,image_metadata2020Honza.csv
IMG_00013,13,2020-03-01,data/plot_13/RGB_2020-03-01.tif,0.3225,0.0251,0.2249,0.0244,0.3094,0.0291,595.0685,67.8577,0.1748,0.0104,yellow,1097.85714285714,218.195004314567,982.857142857143,172.15145780377,950.460317460317,133.147120351745,1172.14285714286,148.489258560456,1849.93650793651,206.022538151335,1694.42857142857,152.685182571717,1191.85714285714,126.630763365048,TRUE,no_data,1,FALSE,no_data,image_metadata2020Honza.csv
IMG_00014,14,2020-03-01,data/plot_14/RGB_2020-03-01.tif,0.3422,0.0653,0.22,0.0537,0.4106,0.0429,697.2434,183.8253,0.0679,0.052,yellow,649.621399176955,80.7206479858614,843.732510288066,99.1687270163965,992.399176954733,146.602885766353,1291.47325102881,149.637144813653,2022.44444444444,230.707857912294,1958.55967078189,306.916899168052,1707.7037037037,243.041324468595,FALSE,ploughed,1,FALSE,ploughed,image_metadata2020Honza.csv
IMG_00015,15,2020-03-01,data/plot_15/RGB_2020-03-01.tif,0.0255,0.0084,0.0093,0.01,0.0285,0.0046,307.8737,111.7631,0.4703,0.0089,ploughed,12031.619047619,449.700525029693,11276.8253968254,338.980755933114,11342.2222222222,250.338380316519,11714.1587301587,218.133371923575,11940.9523809524,435.608415029186,11107.4444444444,151.776552417688,4002.39682539683,121.319032850146,TRUE,no_data,1,FALSE,no_data,image_metadata2020Honza.csv
